record_id,fecha_de_inicio,fecha_de_fin,fecha_del_registro,nombre_de_la_actividad,tipo_de_actividad,qu_tem_tica_s_aborda_la_ac,en_qu_estrategia_plan_inte,asist_total,asist_hombres,asist_mujeres,n_mero_de_horas,n_mero_de_sesiones,apellidos_y_nombre,distrito0,unidad_asistencial,unidad_asistencial_2,sexo,categor_a_profesional,especialidad_de_enfermer_a,horario,localidad_donde_se_realiza,es_una_zona_desfavorecidas,lugar_de_realizaci_n_de_la,poblaci_n_destinataria,observaciones_sobre_la_act
16,01/11/2024,01/11/2024,01/11/2024,Charla alcohol,17,10,16,20,10,10,1.2,4,"Marín García, Ricardo",1,,11,1,6,,0,Municipio Metro,0,6,4,
17,13/12/2025,13/12/2025,13/12/2025,Sesión IG EPOC,22,4,5,11,3,8,0.9,1,"Urbano Montero, Leire",0,4,,0,2,4,0,Granada,0,1,10,
18,01/01/2025,01/01/2025,01/01/2025,Ed. grupal EPOC/asma,7,16,3,17,3,14,2.5,2,"Molina Montilla, Clemente",1,,17,1,2,,0,Municipio Metro,1,6,8,
19,10/02/2025,10/02/2025,10/02/2025,Taller higiene postural,22,1,2,10,3,7,2.7,4,"Heredia Luque, Eduardo",0,3,,1,5,,1,Granada,0,6,10,
20,11/03/2025,11/03/2025,11/03/2025,Sesión menopausia,9,12,16,9,3,6,2.9,4,"Osuna Martínez, Sergio",1,,4,1,2,4,2,Municipio Metro,0,5,12,
21,27/09/2024,27/09/2024,27/09/2024,Intervención salud mental comunitaria,3,5,3,5,1,4,1.1,1,"Cabello Iglesias, Mónica",0,9,,1,8,,2,Granada,1,6,15,
22,21/05/2024,21/05/2024,21/05/2024,Sesión IG EPOC,22,12,5,15,7,8,4.0,4,"Chacón Heredia, Bernardo",1,,13,1,2,,1,Municipio Metro,0,8,2,
23,25/04/2024,25/04/2024,25/04/2024,Sesión menopausia,11,10,9,13,4,9,2.8,4,"Moya Pedrosa, Patricia",0,10,,0,2,,0,Granada,0,8,7,
24,12/03/2025,12/03/2025,12/03/2025,Escuela Pacientes - EPOC,7,17,3,7,1,6,2.2,3,"Méndez Ibáñez, Lourdes",1,,16,1,2,1,0,Municipio Metro,0,5,15,
25,15/04/2024,15/04/2024,15/04/2024,Charla lactancia materna,11,27,14,7,2,5,0.6,3,"Fernández León, César",0,4,,1,7,,2,Granada,1,8,13,
26,08/03/2025,08/03/2025,08/03/2025,Foro salud barrio,22,26,12,19,9,10,2.6,2,"Mateo Hinojosa, Fernando",0,10,,1,9,,0,Granada,0,1,3,
27,07/11/2024,07/11/2024,07/11/2024,Sesión rehabilitación pulmonar,22,1,5,8,2,6,2.6,4,"Prieto Cantero, Mónica",1,,15,1,5,,2,Municipio Metro,1,4,2,
28,05/10/2025,05/10/2025,05/10/2025,Taller hipertensión,7,1,16,10,4,6,1.9,2,"Torres Suárez, Nerea",0,2,,1,2,,2,Granada,0,2,5,
29,10/04/2025,10/04/2025,10/04/2025,Sesión IG EPOC,22,3,5,6,2,4,0.5,2,"Montoya Lozano, Rebeca",1,,19,1,2,4,1,Municipio Metro,0,7,15,
30,26/01/2024,26/01/2024,26/01/2024,Taller actividad física infantil,0,3,8,16,8,8,2.1,4,"Martínez Méndez, Sofía",0,3,,0,7,,2,Granada,0,5,1,
31,15/12/2025,15/12/2025,15/12/2025,Charla diabetes preventiva,17,7,8,22,11,11,3.6,1,"Roldán Ramos, Roberto",0,13,,1,6,,0,Granada,0,3,6,
32,19/12/2025,19/12/2025,19/12/2025,Mesa salud mental comunitaria,19,24,17,22,8,14,3.3,1,"Crespo Navajas, Marta",1,,5,1,6,,0,Municipio Metro,0,4,9,
33,22/05/2025,22/05/2025,22/05/2025,Taller salud comunitaria,3,4,4,31,5,26,3.5,2,"Santos Domínguez, Sandra",1,,13,1,9,,2,Municipio Metro,0,2,8,
34,14/09/2025,14/09/2025,14/09/2025,Sesión menopausia,23,8,17,10,2,8,2.9,3,"Giménez Trujillo, Leire",1,,2,1,2,4,2,Municipio Metro,1,7,11,
35,26/03/2024,26/03/2024,26/03/2024,Mesa salud mental comunitaria,22,10,19,19,9,10,1.5,2,"Chacón Ríos, Clemente",1,,6,1,6,,0,Municipio Metro,1,7,0,
36,28/04/2024,28/04/2024,28/04/2024,Escuela Pacientes - diabetes,10,16,9,7,2,5,1.0,3,"Ríos Pérez, Josefa",0,6,,1,2,3,2,Granada,1,6,9,
37,23/12/2025,23/12/2025,23/12/2025,Taller actividad física infantil,23,15,8,6,2,4,1.0,2,"Pedrosa Fuentes, Fátima",1,,3,1,7,,0,Municipio Metro,0,6,4,
38,03/04/2025,03/04/2025,03/04/2025,Taller cesación tabáquica,7,10,2,6,2,4,1.5,4,"Úbeda Iglesias, Pilar",1,,3,1,2,,2,Municipio Metro,0,7,11,
39,07/12/2025,07/12/2025,07/12/2025,Mesa de salud escolar,3,25,21,23,8,15,0.8,1,"León Martínez, Álvaro",1,,19,1,6,,1,Municipio Metro,0,2,7,
40,21/09/2024,21/09/2024,21/09/2024,Ed. grupal rehab. respiratoria,8,12,5,9,2,7,0.6,3,"Giménez Urbano, Sonia",1,,19,1,2,5,0,Municipio Metro,0,3,15,
41,04/01/2025,04/01/2025,04/01/2025,Taller hipertensión,10,4,16,17,8,9,1.8,3,"Trujillo Espejo, María",1,,16,0,2,5,1,Municipio Metro,0,1,0,
42,07/09/2024,07/09/2024,07/09/2024,Escuela Pacientes - diabetes,22,4,2,11,3,8,2.3,4,"Quevedo Fernández, Alicia",1,,12,0,2,4,0,Municipio Metro,0,8,6,
43,18/05/2024,18/05/2024,18/05/2024,Taller hipertensión,6,1,2,14,6,8,2.9,2,"Lara García, Claudia",1,,20,1,2,1,1,Municipio Metro,0,2,3,
44,23/01/2024,23/01/2024,23/01/2024,Educación maternal,6,8,3,12,3,9,3.0,2,"Toboso Giménez, Paloma",0,5,,1,2,6,1,Granada,0,4,2,
45,15/04/2025,15/04/2025,15/04/2025,Mapeo de activos comunitarios,23,1,7,12,7,5,3.2,1,"Álvarez Duarte, Adrián",1,,18,1,6,,0,Municipio Metro,0,7,11,
46,05/01/2025,05/01/2025,05/01/2025,Sesión PIOBIN enfermería,10,10,2,10,4,6,2.0,3,"Vargas Crespo, Antonia",1,,20,1,2,1,0,Municipio Metro,1,8,1,
47,03/01/2025,03/01/2025,03/01/2025,Charla recursos sociales y salud,22,14,14,8,2,6,0.5,2,"Parra Pedrosa, Rebeca",1,,9,1,13,,2,Municipio Metro,0,3,7,
48,01/05/2024,01/05/2024,01/05/2024,Intervención social RELAS,23,20,1,11,3,8,0.5,3,"Hinojosa Vergara, Irene",0,5,,1,13,,0,Granada,0,0,4,
49,09/11/2025,09/11/2025,09/11/2025,Ed. grupal rehab. respiratoria,7,3,17,10,2,8,2.1,1,"Muñoz Urbano, Antonio",1,,16,1,2,,2,Municipio Metro,0,6,4,
50,26/11/2024,26/11/2024,26/11/2024,Taller GRUSE cuidadoras,13,17,5,8,4,4,1.2,1,"Serrano Pardo, Concepción",0,7,,0,2,2,1,Granada,0,3,14,
51,15/10/2024,15/10/2024,15/10/2024,Taller cesación tabáquica,6,12,10,14,3,11,2.9,1,"Barrios Zamora, Concepción",0,12,,1,2,3,1,Granada,0,4,8,
52,28/01/2025,28/01/2025,28/01/2025,Sesión dolor crónico fisioterapia,22,12,5,4,1,3,0.9,1,"Cabello Rueda, Esperanza",0,7,,1,5,,2,Granada,0,1,8,
53,01/03/2024,01/03/2024,01/03/2024,Sesión clínica formativa,0,22,11,15,7,8,3.5,3,"Jiménez Baena, Antonia",1,,14,0,15,,2,Municipio Metro,0,6,15,
54,13/01/2024,13/01/2024,13/01/2024,Sesión PSIA médico,14,27,17,12,6,6,3.6,1,"Laguna Osuna, Daniel",0,14,,1,6,,2,Granada,0,1,8,
55,05/01/2025,05/01/2025,05/01/2025,Taller cuidadoras personas dependientes,13,4,17,8,1,7,2.4,1,"Pascual Gutiérrez, Paloma",1,,16,1,2,,2,Municipio Metro,0,6,8,
56,02/09/2024,02/09/2024,02/09/2024,Intervención comunitaria barrio desfavorecido,18,4,25,33,6,27,0.9,2,"Navajas Santos, Juan",1,,18,1,9,,0,Municipio Metro,1,9,10,
57,23/12/2025,23/12/2025,23/12/2025,Taller alimentación saludable adultos,22,16,10,9,3,6,1.0,2,"Urbano Delgado, Julio",0,11,,1,2,,0,Granada,1,9,7,
58,17/01/2024,17/01/2024,17/01/2024,Taller higiene postural,22,12,25,10,4,6,1.1,3,"Fernández Rueda, David",1,,6,1,5,,0,Municipio Metro,0,8,11,
59,12/03/2024,12/03/2024,12/03/2024,Charla higiene dental infantil,20,20,21,12,6,6,1.1,4,"Méndez Trujillo, Victoria",1,,10,0,7,,2,Municipio Metro,0,6,9,
60,23/12/2025,23/12/2025,23/12/2025,Taller lactancia materna,8,3,2,10,2,8,3.9,1,"Cañas Pascual, Alicia",1,,18,0,2,3,1,Municipio Metro,1,1,7,
61,11/12/2024,11/12/2024,11/12/2024,Taller cuidadoras personas dependientes,9,10,16,14,5,9,0.5,2,"Úbeda Iglesias, Pilar",1,,20,0,2,1,1,Municipio Metro,0,6,5,
62,16/02/2025,16/02/2025,16/02/2025,Taller habilidades parentales,23,4,1,13,3,10,2.5,2,"Gutiérrez Millán, Concepción",1,,3,1,13,,1,Municipio Metro,0,1,2,
63,06/11/2024,06/11/2024,06/11/2024,Intervención social RELAS,23,28,18,14,2,12,1.7,4,"Chacón Ríos, Fátima",1,,17,1,13,,0,Municipio Metro,1,5,6,
64,24/06/2025,24/06/2025,24/06/2025,Mesa de salud escolar,0,7,7,10,5,5,2.4,4,"Flores Méndez, Verónica",0,3,,1,6,,1,Granada,0,9,15,
65,03/10/2024,03/10/2024,03/10/2024,Sesión dolor crónico fisioterapia,23,10,5,7,1,6,1.4,4,"Suárez Mateo, Marta",0,6,,1,5,,0,Granada,0,7,8,
66,19/08/2024,19/08/2024,19/08/2024,Taller dolor crónico,22,25,2,6,2,4,2.4,2,"Fuentes Palomino, Esperanza",1,,3,1,2,,1,Municipio Metro,0,3,15,
67,03/10/2024,03/10/2024,03/10/2024,Ed. grupal EPOC/asma,7,15,17,17,4,13,2.9,2,"Lara Salas, Aurelio",0,9,,1,2,4,0,Granada,0,6,6,
68,05/09/2025,05/09/2025,05/09/2025,Taller activos salud mental,20,1,25,31,14,17,1.9,4,"Palomino Quintero, Adriana",0,11,,1,9,,0,Granada,0,9,13,
69,14/04/2024,14/04/2024,14/04/2024,Taller cuidadoras personas dependientes,11,16,5,17,5,12,0.9,3,"Medina Cano, Sofía",1,,3,1,2,,2,Municipio Metro,0,0,5,
70,13/09/2024,13/09/2024,13/09/2024,Educación maternal,10,8,3,5,1,4,1.7,2,"Quintero Suárez, Nerea",1,,12,1,2,4,1,Municipio Metro,0,7,3,
71,15/12/2025,15/12/2025,15/12/2025,Charla higiene dental infantil,20,23,8,17,9,8,2.0,4,"Navarro Iglesias, Lidia",0,6,,1,7,,0,Granada,1,8,12,
72,25/05/2024,25/05/2024,25/05/2024,Sesión clínica formativa,3,30,25,11,2,9,1.4,4,"Lara Cabello, Rebeca",0,14,,1,11,,1,Granada,0,1,0,
73,19/04/2025,19/04/2025,19/04/2025,Charla prevención cardiovascular,0,4,6,14,5,9,0.8,1,"Calvo Rueda, Olga",0,14,,1,6,,0,Granada,0,3,6,
74,21/09/2024,21/09/2024,21/09/2024,Taller incontinencia urinaria,9,25,5,11,5,6,1.1,1,"Espinosa Cruz, Antonia",1,,0,1,2,5,1,Municipio Metro,0,7,9,
75,17/10/2025,17/10/2025,17/10/2025,Intervención comunitaria barrio desfavorecido,20,2,25,21,6,15,3.5,3,"Montilla Navajas, Raquel",1,,0,0,9,,1,Municipio Metro,0,4,8,
76,23/09/2025,23/09/2025,23/09/2025,Taller PRIA violencia género,17,4,20,10,4,6,0.7,4,"Marín Gómez, Sofía",0,2,,1,13,,1,Granada,0,6,12,
77,02/12/2025,02/12/2025,02/12/2025,Sesión Forma Joven - sexualidad,23,6,14,24,13,11,2.4,4,"Mora Ramos, Inés",1,,10,1,6,,2,Municipio Metro,0,1,15,
78,24/05/2024,24/05/2024,24/05/2024,Taller incontinencia urinaria,11,17,3,17,3,14,2.8,2,"Pardo Gómez, Susana",1,,5,1,2,6,1,Municipio Metro,0,1,15,
79,28/02/2024,28/02/2024,28/02/2024,Taller salud laboral,17,14,7,18,10,8,0.9,4,"Molina Peña, Nuria",1,,2,1,6,,0,Municipio Metro,1,3,10,
80,19/02/2025,19/02/2025,19/02/2025,Taller PRIA violencia género,3,4,20,12,3,9,2.2,2,"Escribano Roldán, Esperanza",0,13,,1,13,,0,Granada,0,2,15,
81,05/03/2024,05/03/2024,05/03/2024,Sesión Forma Joven - sexualidad,0,7,25,29,14,15,0.6,2,"Ramos Lozano, Adrián",1,,13,0,6,,2,Municipio Metro,1,3,7,
82,12/11/2025,12/11/2025,12/11/2025,Taller lactancia materna,22,17,5,9,4,5,0.7,3,"Laguna Quintero, Antonio",1,,18,1,2,5,0,Municipio Metro,0,7,11,
83,01/01/2025,01/01/2025,01/01/2025,Taller GRUSE,11,3,3,14,4,10,1.1,3,"Sánchez Hinojosa, Fátima",1,,6,1,2,,2,Municipio Metro,1,0,3,
84,27/09/2025,27/09/2025,27/09/2025,Sesión GRAFA,9,25,16,10,3,7,2.2,2,"Jurado Ruiz, Paloma",0,7,,0,2,6,2,Granada,0,9,4,
85,27/02/2025,27/02/2025,27/02/2025,Charla recursos sociales y salud,17,20,20,7,2,5,2.2,2,"Molina Rueda, Noelia",1,,3,1,13,,0,Municipio Metro,0,3,15,
86,08/11/2024,08/11/2024,08/11/2024,Escuela Pacientes - diabetes,6,16,16,16,4,12,1.0,1,"Ramos Cantero, Lourdes",0,1,,1,2,,1,Granada,0,0,3,
87,28/06/2024,28/06/2024,28/06/2024,Ed. grupal EPOC/asma,10,17,5,6,1,5,3.6,1,"Ortega Palomino, Arturo",0,11,,1,2,,1,Granada,0,1,11,
88,06/11/2024,06/11/2024,06/11/2024,Ed. grupal EPOC/asma,6,13,16,16,4,12,2.2,4,"Montero Vargas, Elisa",1,,8,1,2,,0,Municipio Metro,1,9,15,
89,06/07/2025,06/07/2025,06/07/2025,Charla tabaco,3,6,19,19,8,11,3.6,4,"Jiménez Moreno, Miriam",1,,4,0,6,,2,Municipio Metro,0,9,7,
90,28/10/2025,28/10/2025,28/10/2025,Taller dolor crónico,7,4,2,6,2,4,1.4,3,"Urbano Úbeda, Ana",1,,19,0,2,,2,Municipio Metro,0,8,15,
91,28/04/2025,28/04/2025,28/04/2025,Escuela Pacientes - diabetes,13,1,17,9,3,6,2.3,4,"Fuentes Palomino, Esperanza",1,,7,1,2,2,0,Municipio Metro,0,7,10,
92,16/04/2024,16/04/2024,16/04/2024,Taller actividad física infantil,11,27,22,7,3,4,3.4,3,"Núñez Gutiérrez, Paloma",0,6,,1,7,,1,Granada,0,3,14,
93,18/11/2024,18/11/2024,18/11/2024,Taller parentalidad positiva,20,21,21,19,9,10,3.2,2,"Fernández Urbano, Almudena",1,,11,1,7,,1,Municipio Metro,0,0,5,
94,05/04/2025,05/04/2025,05/04/2025,Foro salud barrio,3,21,12,14,6,8,3.5,2,"Cañas Prieto, Ignacio",0,9,,1,9,,0,Granada,0,9,3,
95,15/03/2025,15/03/2025,15/03/2025,Mesa salud mental comunitaria,22,24,14,8,3,5,2.4,4,"Calvo Bravo, Remedios",0,7,,1,6,,0,Granada,0,2,3,
96,22/01/2025,22/01/2025,22/01/2025,Ponencia salud mental,20,7,17,17,7,10,2.9,2,"Gallego Mateo, Carmen",1,,12,1,6,,0,Municipio Metro,1,9,9,
97,18/11/2025,18/11/2025,18/11/2025,Taller PRIA violencia género,17,28,18,11,5,6,2.7,3,"Romero Infante, Elisa",1,,17,1,13,,2,Municipio Metro,0,1,11,
98,23/07/2025,23/07/2025,23/07/2025,Taller GRUSE,5,15,3,9,2,7,3.3,1,"Vera Chacón, Esther",1,,17,1,2,2,0,Municipio Metro,0,4,4,
99,23/02/2024,23/02/2024,23/02/2024,Sesión psicoeducación familiar,23,5,25,6,2,4,2.7,2,"Mora Moya, Elena",1,,1,1,8,,2,Municipio Metro,0,0,12,
100,14/01/2025,14/01/2025,14/01/2025,Sesión AVISTA,22,14,18,5,1,4,1.2,4,"Chacón Navarrete, Óscar",0,8,,1,13,,0,Granada,0,3,9,
101,06/03/2025,06/03/2025,06/03/2025,Sesión formativa interprofesional,3,4,25,15,7,8,0.6,3,"Castillo Navarrete, Victoria",0,2,,1,15,,1,Granada,1,7,4,
102,05/02/2024,05/02/2024,05/02/2024,Detección violencia de género,22,14,14,11,2,9,1.6,3,"Flores Santos, Mónica",0,14,,1,13,,2,Granada,1,8,5,
103,18/02/2025,18/02/2025,18/02/2025,Sesión PSIA médico,23,21,25,13,6,7,1.8,2,"Zamora Contreras, Beatriz",0,14,,1,6,,2,Granada,1,5,14,
104,20/08/2024,20/08/2024,20/08/2024,Taller manejo situaciones crisis,22,4,18,8,2,6,0.9,3,"Vargas Ortega, Noelia",1,,10,1,13,,1,Municipio Metro,0,8,14,
105,02/04/2025,02/04/2025,02/04/2025,Ed. grupal diabetes tipo 2,8,3,5,6,3,3,3.9,1,"Osuna Martínez, Sergio",0,8,,1,2,,0,Granada,0,6,2,
106,22/12/2025,22/12/2025,22/12/2025,Rehabilitación cardiaca grupal,9,25,5,6,3,3,3.3,1,"Arias Soler, Gloria",1,,1,1,2,,1,Municipio Metro,0,0,12,
107,04/10/2025,04/10/2025,04/10/2025,Sesión Forma Joven - sexualidad,23,3,17,25,10,15,3.0,1,"González Cabello, Mercedes",1,,2,1,6,,1,Municipio Metro,0,4,14,
108,13/01/2025,13/01/2025,13/01/2025,Taller salud comunitaria,20,21,12,14,3,11,3.3,3,"Infante Marín, Noelia",1,,17,1,9,,2,Municipio Metro,1,0,0,
109,18/07/2025,18/07/2025,18/07/2025,PSIA sesión grupal,4,5,6,24,9,15,1.2,2,"Navarro Mora, José",0,11,,1,6,,0,Granada,1,9,1,
110,03/10/2025,03/10/2025,03/10/2025,Escuela Pacientes - diabetes,8,17,5,17,6,11,2.8,2,"Cruz Álvarez, Esther",1,,15,1,2,5,2,Municipio Metro,0,9,4,
111,26/07/2025,26/07/2025,26/07/2025,Taller cesación tabáquica,10,1,5,8,3,5,3.1,4,"Rubio Sánchez, Leire",0,5,,1,2,3,1,Granada,0,1,5,
112,20/09/2025,20/09/2025,20/09/2025,Sesión GRAFA,22,3,9,17,7,10,3.1,1,"Baena Cabello, Lucía",1,,4,1,2,,2,Municipio Metro,0,9,6,
113,18/02/2024,18/02/2024,18/02/2024,Ed. grupal rehab. respiratoria,6,25,3,10,4,6,3.2,3,"Montoya Pedrosa, Miriam",1,,4,1,2,5,2,Municipio Metro,0,9,5,
114,05/05/2025,05/05/2025,05/05/2025,Taller actividad física mayores,22,12,5,9,2,7,3.1,4,"Pérez Salinas, Isabel",1,,18,1,5,,1,Municipio Metro,0,0,6,
115,26/05/2025,26/05/2025,26/05/2025,Educación maternal,23,4,2,5,1,4,0.9,3,"Cruz Castillo, Raquel",1,,1,0,2,,2,Municipio Metro,0,9,2,
116,09/05/2025,09/05/2025,09/05/2025,Taller GRUSE cuidadoras,7,15,9,16,6,10,3.3,1,"Lozano Úbeda, Adrián",1,,11,1,2,2,1,Municipio Metro,0,2,5,
117,20/12/2024,20/12/2024,20/12/2024,Charla higiene dental infantil,11,3,14,21,7,14,2.2,4,"Suárez Quintero, Clemente",1,,13,1,7,,1,Municipio Metro,1,0,4,
118,05/07/2025,05/07/2025,05/07/2025,Sesión PSIA médico,0,30,17,9,5,4,1.1,4,"Blanco Delgado, Clemente",1,,4,1,6,,0,Municipio Metro,0,7,15,
119,20/02/2025,20/02/2025,20/02/2025,Taller lactancia materna,23,10,10,13,4,9,1.1,3,"Tejada Montilla, María",1,,5,1,2,,0,Municipio Metro,1,3,13,
120,20/05/2024,20/05/2024,20/05/2024,Taller cesación tabáquica,23,4,17,5,1,4,2.3,1,"Juárez Trujillo, Claudia",1,,19,0,2,6,2,Municipio Metro,0,8,13,
121,28/12/2024,28/12/2024,28/12/2024,Taller alimentación saludable adultos,8,10,3,15,5,10,2.6,1,"Salas Romero, Olga",1,,15,1,2,3,2,Municipio Metro,0,3,0,
122,24/11/2025,24/11/2025,24/11/2025,Sesión PSIA comunitario,20,2,18,9,2,7,2.9,3,"Méndez Domínguez, Miguel",1,,16,1,9,,2,Municipio Metro,0,8,13,
123,22/09/2024,22/09/2024,22/09/2024,Sesión PIOBIN enfermería,10,12,5,11,4,7,2.4,3,"Juárez Gutiérrez, Pilar",1,,17,1,2,,2,Municipio Metro,1,3,14,
124,06/11/2025,06/11/2025,06/11/2025,Sesión GRAFA,6,13,5,15,4,11,2.9,1,"Montoya Roldán, Esperanza",1,,10,1,2,6,1,Municipio Metro,1,4,7,
125,03/12/2024,03/12/2024,03/12/2024,PSIA sesión grupal,22,21,7,22,10,12,3.0,1,"Reyes Castillo, Lidia",1,,12,0,6,,2,Municipio Metro,0,8,9,
126,08/11/2025,08/11/2025,08/11/2025,Sesión Forma Joven - sexualidad,20,14,6,8,4,4,4.0,4,"Trujillo Parra, Noelia",0,10,,0,6,,0,Granada,0,1,2,
127,12/06/2025,12/06/2025,12/06/2025,Sesión IG EPOC,6,4,3,11,4,7,0.5,2,"Juárez Úbeda, Elena",0,3,,1,2,1,0,Granada,0,4,8,
128,15/11/2025,15/11/2025,15/11/2025,Intervención familias vulnerables,3,5,1,12,2,10,2.1,4,"Peña Flores, Rebeca",1,,7,1,13,,1,Municipio Metro,0,3,7,
129,14/11/2024,14/11/2024,14/11/2024,Detección violencia de género,17,5,24,7,3,4,2.9,3,"Espejo Gallego, Ricardo",1,,8,1,13,,2,Municipio Metro,0,3,15,
130,07/12/2025,07/12/2025,07/12/2025,Escuela Pacientes - EPOC,6,3,16,8,2,6,3.4,3,"Torres Suárez, Nerea",1,,6,1,2,1,0,Municipio Metro,0,8,1,
131,12/04/2025,12/04/2025,12/04/2025,Charla prevención cardiovascular,14,10,6,27,12,15,3.9,3,"Pérez Iglesias, Paloma",1,,18,0,6,,2,Municipio Metro,0,7,1,
132,12/05/2025,12/05/2025,12/05/2025,Taller dolor crónico,23,10,3,18,5,13,2.1,1,"Mateo Baena, Lucía",1,,14,1,2,2,1,Municipio Metro,0,4,7,
133,16/09/2024,16/09/2024,16/09/2024,Intervención riesgo conducta suicida,22,5,14,9,3,6,3.1,3,"Carmona Sánchez, Álvaro",0,7,,1,13,,2,Granada,0,1,8,
134,28/08/2024,28/08/2024,28/08/2024,Ed. grupal rehab. respiratoria,22,12,3,11,5,6,2.0,2,"Moreno Redondo, Sofía",1,,4,1,2,,1,Municipio Metro,0,9,1,
135,04/01/2025,04/01/2025,04/01/2025,Ponencia salud mental,19,7,25,18,7,11,2.1,3,"Quintero Guerrero, Antonio",0,4,,1,6,,1,Granada,0,6,3,
136,28/12/2024,28/12/2024,28/12/2024,Sesión Forma Joven - sexualidad,19,27,25,22,9,13,3.9,3,"Núñez Salas, Nuria",0,9,,1,6,,2,Granada,0,1,12,
137,05/09/2025,05/09/2025,05/09/2025,Detección violencia de género,17,20,14,9,3,6,1.9,1,"León González, Inés",1,,10,1,13,,2,Municipio Metro,0,4,12,
138,15/09/2024,15/09/2024,15/09/2024,Sesión conducta suicida CSMC,3,5,25,12,4,8,1.1,1,"Cabello Iglesias, Mónica",1,,16,1,8,,2,Municipio Metro,0,1,6,
139,03/04/2024,03/04/2024,03/04/2024,Charla recursos sociales y salud,17,4,20,12,4,8,4.0,1,"Olmedo Medina, Marta",1,,0,1,13,,0,Municipio Metro,0,7,4,
140,17/05/2024,17/05/2024,17/05/2024,Foro salud barrio,3,1,18,30,11,19,2.2,3,"Infante Marín, Noelia",0,5,,1,9,,1,Granada,0,9,13,
141,21/05/2025,21/05/2025,21/05/2025,Sesión IAHS,17,4,17,20,7,13,2.0,3,"Pardo Tejada, Ana",1,,15,0,6,,2,Municipio Metro,0,2,11,
142,16/10/2024,16/10/2024,16/10/2024,Charla alimentación saludable,23,7,16,15,5,10,3.3,2,"Bravo Urbano, Gracia",1,,15,1,6,,2,Municipio Metro,0,3,5,
143,24/11/2025,24/11/2025,24/11/2025,Taller bienestar emocional adultos,23,10,17,17,9,8,3.2,3,"Campos Quintero, Aurelio",0,1,,1,6,,0,Granada,0,4,3,
