record_id,fecha_de_inicio,fecha_de_fin,fecha_del_registro,nombre_de_la_actividad,tipo_de_actividad,qu_tem_tica_s_aborda_la_ac,en_qu_estrategia_plan_inte,asist_total,asist_hombres,asist_mujeres,n_mero_de_horas,n_mero_de_sesiones,apellidos_y_nombre,distrito0,unidad_asistencial,unidad_asistencial_2,sexo,categor_a_profesional,especialidad_de_enfermer_a,horario,localidad_donde_se_realiza,es_una_zona_desfavorecidas,lugar_de_realizaci_n_de_la,poblaci_n_destinataria
59,05/07/2025,05/07/2025,05/07/2025,Actividad PS: primeros auxilios,1,22,20,84,17,67,2.5,1,"López Torres, Amparo",0,1,,F,11,,0,Almanjáyar,1,9,13
60,02/10/2025,02/10/2025,02/10/2025,Sesión clínica: alimentación saludable,21,3,11,18,8,10,1.1,1,"Molina Jiménez, Víctor",0,1,,M,6,,2,Almanjáyar,1,1,13
61,27/01/2025,27/01/2025,31/01/2025,Mesa informativa: salud bucodental,19,23,16,39,20,19,1.2,1,"López Lara, Irene",0,1,,F,14,,0,Almanjáyar,1,3,12
62,07/02/2025,21/03/2025,12/02/2025,Programa educación maternal,11,7,7,24,0,24,10.5,7,"Vega Morales, Amparo",0,1,,F,2,1,0,Almanjáyar,1,13,14
63,14/01/2024,28/01/2024,16/01/2024,Sesión clínica: consumo alcohol,21,6,19,6,2,4,4.5,3,"Alonso Guerrero, Virginia",0,1,,F,4,,1,Almanjáyar,1,13,4
64,22/07/2024,22/07/2024,26/07/2024,Charla sobre vacunación,0,27,1,54,11,43,0.7,1,"Alonso Guerrero, Virginia",0,1,,F,4,,1,Almanjáyar,1,4,6
65,07/09/2025,19/10/2025,12/09/2025,Taller de violencia género,23,28,16,10,5,5,17.5,7,"Fernández González, Ana",0,1,,F,13,,0,Almanjáyar,1,10,0
66,08/12/2025,29/12/2025,11/12/2025,Mapeo de activos: higiene manos,18,11,9,32,15,17,6.4,4,"Fuentes García, Andrés",0,1,,M,11,,0,Almanjáyar,1,2,14
67,07/02/2025,28/02/2025,09/02/2025,Reunión coordinación — tabaco,3,7,16,4,1,3,4.8,4,"Alonso Guerrero, Virginia",0,1,,F,4,,0,Almanjáyar,1,5,10
68,07/03/2024,07/03/2024,09/03/2024,Actividad PS: IRAS,24,14,13,24,6,18,1.9,1,"Fuentes García, Andrés",0,1,,M,11,,2,Almanjáyar,1,6,15
69,16/09/2025,14/10/2025,18/09/2025,Taller de vacunación,23,27,12,11,2,9,8.0,5,"Molina Jiménez, Víctor",0,1,,M,6,,1,Almanjáyar,1,12,6
70,15/06/2025,15/06/2025,20/06/2025,Sesión formativa: alimentación saludable,22,3,3,26,6,20,1.3,1,"Alonso Carmona, Carlos",0,1,,M,9,,2,Almanjáyar,1,3,3
71,23/02/2024,01/03/2024,24/02/2024,Taller de alimentación saludable,23,3,24,21,11,10,3.4,2,"Alonso Carmona, Carlos",0,1,,M,9,,2,Almanjáyar,1,4,8
72,21/11/2024,19/12/2024,26/11/2024,PSIA,17,26,16,25,3,22,11.0,5,"Alonso Carmona, Carlos",0,1,,M,9,,1,Almanjáyar,1,3,14
73,23/04/2024,23/04/2024,26/04/2024,Actividad PS: enf. transmisibles,24,9,15,8,3,5,1.8,1,"Fuentes García, Andrés",0,1,,M,11,,0,Almanjáyar,1,2,5
74,25/01/2025,22/02/2025,25/01/2025,PSIA,17,8,7,15,0,15,9.5,5,"Vega Morales, Amparo",0,1,,F,2,1,2,Almanjáyar,1,1,14
75,11/05/2025,06/07/2025,16/05/2025,GRAFA,12,2,12,19,6,13,17.1,9,"Alonso Carmona, Carlos",0,1,,M,9,,1,Almanjáyar,1,10,4
76,30/12/2025,31/12/2025,03/01/2026,PSIA,17,6,20,19,2,17,16.0,8,"Alonso Carmona, Carlos",0,1,,M,9,,1,Almanjáyar,1,9,8
77,09/02/2025,16/02/2025,09/02/2025,Sesión formativa: salud bucodental,22,23,17,14,3,11,2.0,2,"López García, Virginia",0,1,,F,14,,0,Almanjáyar,1,14,9
78,06/04/2024,27/04/2024,07/04/2024,Reunión coordinación — lactancia materna,3,15,19,4,2,2,5.2,4,"Fernández González, Ana",0,1,,F,13,,1,Almanjáyar,1,12,1
79,03/01/2025,17/01/2025,06/01/2025,Sesión clínica: otras temáticas,21,30,18,19,8,11,4.8,3,"Alonso Guerrero, Virginia",0,1,,F,4,,2,Almanjáyar,1,6,12
80,14/11/2025,14/11/2025,16/11/2025,Mesa informativa: conducta suicida,19,5,24,23,6,17,1.6,1,"Fernández González, Ana",0,1,,F,13,,0,Almanjáyar,1,10,7
81,07/10/2025,07/10/2025,08/10/2025,Mesa informativa: menopausia,19,17,5,21,6,15,1.6,1,"Alonso Guerrero, Virginia",0,1,,F,4,,1,Almanjáyar,1,13,11
82,12/09/2024,12/09/2024,15/09/2024,Charla sobre act. física,0,1,15,10,4,6,0.8,1,"Vega Morales, Amparo",0,1,,F,2,1,1,Almanjáyar,1,5,1
83,08/09/2024,17/11/2024,13/09/2024,GRUSE,13,24,23,12,3,9,20.9,11,"Fernández González, Ana",0,1,,F,13,,0,Almanjáyar,1,7,11
84,24/06/2024,19/08/2024,25/06/2024,Grupo EPOC/asma,8,3,19,17,4,13,21.6,9,"Vega Morales, Amparo",0,1,,F,2,1,1,Almanjáyar,1,5,6
85,06/01/2025,31/03/2025,11/01/2025,PSIA,17,27,21,11,2,9,19.5,13,"Vega Morales, Amparo",0,1,,F,2,1,1,Almanjáyar,1,7,14
86,25/09/2025,16/10/2025,29/09/2025,Actividad PS: tabaco,4,7,5,7,4,3,8.0,4,"Molina Jiménez, Víctor",0,1,,M,6,,2,Almanjáyar,1,1,10
87,13/03/2025,13/03/2025,13/03/2025,Charla sobre salud bucodental,0,23,7,16,8,8,0.7,1,"López Lara, Irene",0,1,,F,14,,2,Almanjáyar,1,6,9
88,17/10/2024,17/10/2024,22/10/2024,Sesión formativa: prev. accidentes,22,21,3,26,11,15,1.9,1,"Alonso Carmona, Carlos",0,1,,M,9,,0,Almanjáyar,1,10,1
89,03/05/2025,03/05/2025,04/05/2025,Sesión formativa: act. física,22,1,10,21,8,13,1.1,1,"Molina Jiménez, Víctor",0,1,,M,6,,2,Almanjáyar,1,1,11
90,29/10/2025,29/10/2025,01/11/2025,Mesa informativa: consumo alcohol,19,6,10,29,13,16,0.6,1,"Alonso Carmona, Carlos",0,1,,M,9,,2,Almanjáyar,1,11,8
91,20/04/2024,27/04/2024,23/04/2024,Actividad PS: act. física,24,1,11,23,6,17,3.4,2,"Molina Jiménez, Víctor",0,1,,M,6,,0,Almanjáyar,1,8,15
92,27/09/2024,27/09/2024,01/10/2024,Actividad PS: higiene manos,24,11,21,7,3,4,2.0,1,"López Torres, Amparo",0,1,,F,11,,1,Almanjáyar,1,3,11
93,20/01/2024,17/02/2024,25/01/2024,Ponencia: otras temáticas,20,30,2,100,33,67,7.0,5,"Fuentes García, Andrés",0,1,,M,11,,2,Almanjáyar,1,7,4
94,28/04/2024,26/05/2024,30/04/2024,Ponencia: prev. accidentes,20,21,15,120,60,60,10.5,5,"Fuentes García, Andrés",0,1,,M,11,,1,Almanjáyar,1,13,1
95,23/07/2025,23/07/2025,26/07/2025,Mesa informativa: salud bucodental,19,23,7,36,12,24,1.7,1,"López García, Virginia",0,1,,F,14,,2,Almanjáyar,1,14,0
96,07/09/2024,21/12/2024,11/09/2024,PSIA,17,4,13,23,4,19,28.8,16,"Alonso Carmona, Carlos",0,1,,M,9,,1,Almanjáyar,1,12,6
97,21/02/2024,28/02/2024,25/02/2024,Actividad PS: enf. transmisibles,24,9,14,19,4,15,3.2,2,"Fuentes García, Andrés",0,1,,M,11,,0,Almanjáyar,1,3,12
98,10/12/2024,11/03/2025,11/12/2024,IAHS,14,12,4,16,8,8,28.0,14,"Vega Morales, Amparo",0,1,,F,2,1,0,Almanjáyar,1,7,13
99,04/04/2024,11/04/2024,08/04/2024,Sesión formativa: alimentación saludable,22,3,21,29,15,14,3.2,2,"López García, Virginia",0,1,,F,14,,2,Almanjáyar,1,10,14
100,22/04/2024,22/04/2024,25/04/2024,Mesa informativa: otras temáticas,19,30,18,20,10,10,0.9,1,"Molina Jiménez, Víctor",0,1,,M,6,,2,Almanjáyar,1,10,3
101,30/11/2024,11/01/2025,04/12/2024,Grupo diabetológico,7,21,10,11,3,8,12.6,7,"Vega Morales, Amparo",0,1,,F,2,1,0,Almanjáyar,1,5,15
102,02/02/2024,23/02/2024,07/02/2024,Grupo dolor crónico,6,20,22,15,7,8,10.0,4,"Vega Morales, Amparo",0,1,,F,2,1,1,Almanjáyar,1,4,7
103,15/06/2024,22/06/2024,15/06/2024,Sesión formativa: enf. transmisibles,22,9,18,6,3,3,2.4,2,"López Torres, Amparo",0,1,,F,11,,0,Almanjáyar,1,11,5
104,03/12/2025,17/12/2025,05/12/2025,Sesión formativa: primeros auxilios,22,22,6,14,8,6,4.8,3,"Fuentes García, Andrés",0,1,,M,11,,1,Almanjáyar,1,12,11
105,23/04/2024,07/05/2024,26/04/2024,Sesión clínica: salud bucodental,21,23,9,23,5,18,3.3,3,"López Lara, Irene",0,1,,F,14,,2,Almanjáyar,1,9,11
106,30/03/2025,27/04/2025,04/04/2025,Ponencia: bienestar emocional,20,4,21,100,25,75,10.5,5,"Molina Jiménez, Víctor",0,1,,M,6,,2,Almanjáyar,1,0,3
107,27/05/2024,10/06/2024,30/05/2024,Sesión formativa: vacunación,22,27,25,6,2,4,3.0,3,"López García, Virginia",0,1,,F,14,,0,Almanjáyar,1,14,5
108,17/06/2024,17/06/2024,21/06/2024,Mesa informativa: consumo alcohol,19,6,20,21,10,11,1.3,1,"Alonso Guerrero, Virginia",0,1,,F,4,,0,Almanjáyar,1,3,4
109,25/12/2025,31/12/2025,28/12/2025,PSIA,17,1,16,17,3,14,19.8,11,"Alonso Carmona, Carlos",0,1,,M,9,,2,Almanjáyar,1,13,14
110,28/08/2025,28/08/2025,30/08/2025,Charla sobre voluntades vitales,0,29,12,34,12,22,1.6,1,"Molina Jiménez, Víctor",0,1,,M,6,,2,Almanjáyar,1,13,0
111,20/09/2025,20/09/2025,25/09/2025,Mesa informativa: salud bucodental,19,23,15,16,4,12,1.9,1,"López García, Virginia",0,1,,F,14,,0,Almanjáyar,1,8,6
112,01/01/2025,19/02/2025,02/01/2025,IAHS,14,19,6,12,5,7,14.4,8,"Alonso Carmona, Carlos",0,1,,M,9,,2,Almanjáyar,1,0,2
113,14/10/2025,14/10/2025,17/10/2025,Mesa informativa: bienestar emocional,19,4,19,56,23,33,1.3,1,"Molina Jiménez, Víctor",0,1,,M,6,,0,Almanjáyar,1,2,2
114,28/10/2024,06/01/2025,28/10/2024,GRAFA,12,4,5,14,3,11,19.8,11,"Alonso Carmona, Carlos",0,1,,M,9,,2,Almanjáyar,1,11,1
115,18/10/2024,25/10/2024,18/10/2024,Sesión formativa: uso medicamento,22,25,6,29,15,14,2.6,2,"Alonso Guerrero, Virginia",0,1,,F,4,,2,Almanjáyar,1,14,6
116,10/04/2024,24/04/2024,15/04/2024,Taller de uso medicamento,23,25,22,18,4,14,8.1,3,"López Lara, Irene",0,1,,F,14,,2,Almanjáyar,1,7,12
117,12/04/2024,03/05/2024,13/04/2024,Reunión coordinación — otras temáticas,3,30,8,8,2,6,7.6,4,"Molina Jiménez, Víctor",0,1,,M,6,,0,Almanjáyar,1,2,11
118,19/08/2025,19/08/2025,21/08/2025,Mesa informativa: IRAS,19,14,7,40,22,18,0.6,1,"Fuentes García, Andrés",0,1,,M,11,,0,Almanjáyar,1,1,7
119,04/04/2024,25/04/2024,09/04/2024,Reunión coordinación — sexualidad,3,24,15,6,2,4,7.2,4,"Fernández González, Ana",0,1,,F,13,,1,Almanjáyar,1,12,7
120,19/04/2025,19/04/2025,19/04/2025,Mesa informativa: vacunación,19,27,20,49,17,32,0.6,1,"López García, Virginia",0,1,,F,14,,2,Almanjáyar,1,4,5
121,16/03/2025,16/03/2025,20/03/2025,Mapeo de activos: violencia género,18,28,23,32,17,15,1.7,1,"Fernández González, Ana",0,1,,F,13,,1,Almanjáyar,1,13,9
122,01/05/2024,15/05/2024,04/05/2024,Sesión formativa: higiene postural,22,12,24,21,9,12,4.8,3,"Vega Morales, Amparo",0,1,,F,2,1,0,Almanjáyar,1,14,12
123,23/10/2024,13/11/2024,23/10/2024,Reunión coordinación — vacunación,3,27,17,5,1,4,5.2,4,"Molina Jiménez, Víctor",0,1,,M,6,,0,Almanjáyar,1,9,4
124,23/05/2025,22/08/2025,26/05/2025,IAHS,14,19,22,17,5,12,32.2,14,"Alonso Carmona, Carlos",0,1,,M,9,,0,Almanjáyar,1,7,1
125,05/01/2024,12/01/2024,06/01/2024,Actividad PS: alimentación saludable,4,3,11,28,7,21,3.6,2,"Molina Jiménez, Víctor",0,1,,M,6,,2,Almanjáyar,1,0,15
126,08/12/2024,15/12/2024,08/12/2024,Sesión formativa: higiene manos,22,11,1,14,5,9,3.2,2,"Fuentes García, Andrés",0,1,,M,11,,2,Almanjáyar,1,14,15
127,29/06/2025,13/07/2025,30/06/2025,Sesión formativa: uso medicamento,22,25,1,10,4,6,4.2,3,"López García, Virginia",0,1,,F,14,,2,Almanjáyar,1,14,12
128,26/06/2025,28/08/2025,26/06/2025,IAHS,14,27,25,19,10,9,21.0,10,"Rubio Montero, Pilar",0,2,,F,2,8,2,Cartuja,0,0,9
129,05/02/2025,21/05/2025,08/02/2025,Grupo diabetológico,7,4,20,8,3,5,33.6,16,"Molina Reyes, Silvia",0,2,,F,2,9,1,Cartuja,0,11,4
130,19/03/2025,02/04/2025,22/03/2025,Sesión formativa: vacunación,22,27,18,22,5,17,3.9,3,"Flores Carmona, Carmen",0,2,,F,4,,0,Cartuja,0,1,8
131,01/09/2025,29/09/2025,05/09/2025,Ponencia: manejo enf. crónicas,20,16,15,34,15,19,7.0,5,"Ortiz Fernández, Carmen",0,2,,F,6,,2,Cartuja,0,9,8
132,10/07/2025,21/08/2025,15/07/2025,PSIA,17,7,13,22,2,20,10.5,7,"Rubio Montero, Pilar",0,2,,F,2,8,2,Cartuja,0,6,10
133,07/07/2025,18/08/2025,07/07/2025,PSIA,17,20,4,22,0,22,11.2,7,"Gutiérrez Suárez, Irene",0,2,,F,9,,1,Cartuja,0,13,14
134,04/06/2024,23/07/2024,08/06/2024,Programa educación maternal,11,21,15,8,0,8,16.8,8,"Molina Reyes, Silvia",0,2,,F,2,9,2,Cartuja,0,3,15
135,19/02/2025,19/02/2025,24/02/2025,Reunión coordinación — menopausia,3,17,1,9,3,6,1.8,1,"Flores Carmona, Carmen",0,2,,F,4,,2,Cartuja,0,14,13
136,23/10/2025,13/11/2025,24/10/2025,Reunión coordinación — envejecimiento,3,10,22,10,2,8,6.0,4,"Rubio Gutiérrez, Carmen",0,2,,F,2,5,1,Cartuja,0,13,3
137,13/03/2024,13/03/2024,15/03/2024,Sesión formativa: sexualidad,22,24,20,7,2,5,1.3,1,"Gutiérrez Suárez, Irene",0,2,,F,9,,0,Cartuja,0,6,12
138,09/04/2025,09/04/2025,14/04/2025,Mesa informativa: otras temáticas,19,30,1,31,13,18,2.0,1,"Rubio García, Raquel",0,2,,F,9,,0,Cartuja,0,9,12
139,06/06/2025,27/06/2025,08/06/2025,Rehabilitación respiratoria,10,6,12,14,8,6,9.2,4,"Molina Reyes, Silvia",0,2,,F,2,9,2,Cartuja,0,5,0
140,12/09/2025,26/09/2025,16/09/2025,Reunión coordinación — act. física,3,1,15,2,1,1,3.9,3,"Blanco Vega, Inmaculada",0,2,,F,6,,1,Cartuja,0,14,7
141,19/11/2025,31/12/2025,22/11/2025,PITA,16,7,18,22,8,14,15.4,7,"Gutiérrez Suárez, Irene",0,2,,F,9,,0,Cartuja,0,3,8
142,23/10/2024,27/11/2024,26/10/2024,PITA,16,18,22,8,4,4,12.0,6,"Rubio García, Raquel",0,2,,F,9,,0,Cartuja,0,11,11
143,31/05/2024,31/05/2024,04/06/2024,Sesión formativa: otras formas fumar,22,19,24,13,6,7,1.3,1,"Rubio García, Raquel",0,2,,F,9,,1,Cartuja,0,9,3
144,20/05/2025,27/05/2025,23/05/2025,Reunión coordinación — bienestar emocional,3,4,8,6,2,4,3.2,2,"Molina Reyes, Silvia",0,2,,F,2,9,2,Cartuja,0,9,14
145,30/01/2025,20/02/2025,04/02/2025,Programa educación maternal,11,15,3,15,2,13,9.6,4,"Molina Reyes, Silvia",0,2,,F,2,9,1,Cartuja,0,8,13
146,16/06/2024,16/06/2024,20/06/2024,Mesa informativa: otras adicciones,19,18,19,14,5,9,1.2,1,"Flores Carmona, Carmen",0,2,,F,4,,2,Cartuja,0,10,14
